# id	category	query	target
short-working-set	working-set	skills	/Users/kiri110k/work/wip/skills-drafts
russian-substitution	typo	метолология	/Users/kiri110k/work/МЕТОДОЛОГИЯ.md
latin-deletion	typo	methodolgy	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
latin-insertion	typo	methodoology	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
latin-transposition	typo	methdoology	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
wrong-layout	layout	ьуерщвщдщпн	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
layout-plus-typo	layout-typo	ьуерщвщдпн	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
implicit-path	path	work wip	/Users/kiri110k/work/wip
gapped-path	path	vault methodology	/Users/kiri110k/work/vault/ПлатформаСервис/Методология/methodology.md
direct-multi	multi-token	status report	/Users/kiri110k/Downloads/status-report_2026-08-02-19-00-00_2026-08-03-19-00-00.xlsx
